I0229 15:41:19.290870 164201 Oracle_NN.py:283] key:airplane,train_idx:0,train_slicer:2832,num:2832
I0229 15:41:19.291278 164201 Oracle_NN.py:284] key:airplane,train_idx:0,train_slicer:809,num:809
I0229 16:05:30.997542 164201 Oracle_NN.py:157] loss:0.02893915854265281, idx:772, prediction shapetorch.Size([1, 1024, 3])
I0229 16:05:39.076201 164201 Oracle_NN.py:157] loss:0.04103494685149065, idx:1413, prediction shapetorch.Size([1, 1024, 3])
I0229 16:05:47.118113 164201 Oracle_NN.py:157] loss:0.0860613212468997, idx:1545, prediction shapetorch.Size([1, 1024, 3])
I0229 16:05:55.384969 164201 Oracle_NN.py:157] loss:0.05829996085902222, idx:2782, prediction shapetorch.Size([1, 1024, 3])
I0229 16:06:03.433752 164201 Oracle_NN.py:157] loss:0.06452121509510264, idx:183, prediction shapetorch.Size([1, 1024, 3])
I0229 16:06:11.566808 164201 Oracle_NN.py:157] loss:0.06622321693932384, idx:2106, prediction shapetorch.Size([1, 1024, 3])
I0229 16:06:19.667486 164201 Oracle_NN.py:157] loss:0.05638692475080644, idx:399, prediction shapetorch.Size([1, 1024, 3])
I0229 16:06:27.943408 164201 Oracle_NN.py:157] loss:0.056567237020692954, idx:2648, prediction shapetorch.Size([1, 1024, 3])
I0229 16:06:36.034665 164201 Oracle_NN.py:157] loss:0.0696324578262939, idx:2605, prediction shapetorch.Size([1, 1024, 3])
I0229 16:06:44.293957 164201 Oracle_NN.py:157] loss:0.0380564851006218, idx:1509, prediction shapetorch.Size([1, 1024, 3])
I0229 16:06:52.398858 164201 Oracle_NN.py:157] loss:0.04313816120202915, idx:1653, prediction shapetorch.Size([1, 1024, 3])
I0229 16:07:00.605574 164201 Oracle_NN.py:157] loss:0.051320205364693436, idx:2056, prediction shapetorch.Size([1, 1024, 3])
I0229 16:07:08.679496 164201 Oracle_NN.py:157] loss:0.030852272807532666, idx:748, prediction shapetorch.Size([1, 1024, 3])
I0229 16:07:16.912441 164201 Oracle_NN.py:157] loss:0.07693799199482462, idx:762, prediction shapetorch.Size([1, 1024, 3])
I0229 16:07:24.899723 164201 Oracle_NN.py:157] loss:0.08247990590095003, idx:2658, prediction shapetorch.Size([1, 1024, 3])
I0229 16:07:33.029741 164201 Oracle_NN.py:157] loss:0.05493214344302111, idx:1232, prediction shapetorch.Size([1, 1024, 3])
